FLIGHT_DATE,FLIGHT_MONTH,FLIGHT_TIME,TIME_OF_DAY,AIRLINE_CD,FLIGHT_NO,DEPARTURE_STATION_NAME,DEPARTURE_STATION_CD,DEPARTURE_STATION_GEO_LOCATION,ARRIVAL_STATION_NAME,ARRIVAL_STATION_CD,ARRIVAL_STATION_GEO_LOCATION,ARRIVAL_COUNTRY,ARRIVAL_REGION,HAUL,AIRCRAFT_TYPE,AIRCRAFT_NAME,FIRST_CLASS_SEATS,BUSINESS_CLASS_SEATS,ECONOMY_SEATS,TIER1_ELIGIBLE_PAX,TIER2_ELIGIBLE_PAX,TIER3_ELIGIBLE_PAX
03-09-2025,September,06:00,Morning,BA,BA6358,London Heathrow Airport,LHR,London,Josep Tarradellas Barcelona-El Part Airport,BCN,Barcelona,Spain,Europe,SHORT,A320,Airbus 320,0,8,172,0,9,33
24-05-2025,May,06:00,Morning,BA,BA4826,London Heathrow Airport,LHR,London,Zurich Airport,ZRH,Zurich,Switzerland,Europe,SHORT,A320,Airbus 320,0,7,173,3,10,36
16-05-2025,May,06:00,Morning,BA,BA7195,London Heathrow Airport,LHR,London,O'Hare International Airport,ORD,Chicago,USA,North America,LONG,B777,Boeing 777,0,32,300,0,2,15
20-08-2025,August,06:00,Morning,BA,BA8473,London Heathrow Airport,LHR,London,John F. Kennedy International Airport,JFK,New York City,USA,North America,LONG,B787,Boeing 787,0,31,173,0,9,34
02-06-2025,June,06:00,Morning,BA,BA4238,London Heathrow Airport,LHR,London,Haneda Airport (Tokyo International Airport),HND,Tokyo,Japan,Asia,LONG,B787,Boeing 787,0,35,179,0,15,50
10-10-2025,October,06:00,Morning,BA,BA8298,London Heathrow Airport,LHR,London,Los Angeles International Airport,LAX,Los Angeles,USA,North America,LONG,B777,Boeing 777,8,49,178,0,17,56
01-06-2025,June,06:00,Morning,BA,BA9437,London Heathrow Airport,LHR,London,Vienna International Airport,VIE,Vienna,Austria,Europe,SHORT,A320,Airbus 320,0,15,165,0,12,44
10-06-2025,June,06:00,Morning,BA,BA5667,London Heathrow Airport,LHR,London,Josep Tarradellas Barcelona-El Part Airport,BCN,Barcelona,Spain,Europe,SHORT,A320,Airbus 320,0,0,180,0,7,27
30-10-2025,October,06:00,Morning,BA,BA1234,London Heathrow Airport,LHR,London,Munich Airport,MUC,Munich,Germany,Europe,SHORT,A320,Airbus 320,0,14,166,0,2,14
07-05-2025,May,06:00,Morning,BA,BA4877,London Heathrow Airport,LHR,London,Adolfo Suárez Madrid–Barajas Airport,MAD,Madrid,Spain,Europe,SHORT,A320,Airbus 320,0,14,166,1,12,43
12-07-2025,July,06:01,Morning,BA,BA6104,London Heathrow Airport,LHR,London,Haneda Airport (Tokyo International Airport),HND,Tokyo,Japan,Asia,LONG,B777,Boeing 777,8,49,178,0,12,42
08-07-2025,July,06:01,Morning,BA,BA5240,London Heathrow Airport,LHR,London,O'Hare International Airport,ORD,Chicago,USA,North America,LONG,B787,Boeing 787,0,31,173,0,9,34
26-07-2025,July,06:01,Morning,BA,BA7154,London Heathrow Airport,LHR,London,Los Angeles International Airport,LAX,Los Angeles,USA,North America,LONG,B787,Boeing 787,8,48,200,0,12,43
11-08-2025,August,06:01,Morning,BA,BA7701,London Heathrow Airport,LHR,London,Josep Tarradellas Barcelona-El Part Airport,BCN,Barcelona,Spain,Europe,SHORT,A320,Airbus 320,0,12,168,0,12,43
20-07-2025,July,06:01,Morning,BA,BA9252,London Heathrow Airport,LHR,London,Dallas/Fort Worth International Airport,DFW,Dallas,USA,North America,LONG,A380,Airbus 380,14,97,358,0,13,46
28-04-2025,April,06:01,Morning,BA,BA8087,London Heathrow Airport,LHR,London,Haneda Airport (Tokyo International Airport),HND,Tokyo,Japan,Asia,LONG,B787,Boeing 787,8,42,166,0,7,29
05-10-2025,October,06:01,Morning,BA,BA8162,London Heathrow Airport,LHR,London,Charles de Gaulle Airport,CDG,Paris,France,Europe,SHORT,A320,Airbus 320,0,14,166,0,0,1
06-08-2025,August,06:02,Morning,BA,BA6871,London Heathrow Airport,LHR,London,O'Hare International Airport,ORD,Chicago,USA,North America,LONG,B777,Boeing 777,0,32,300,1,5,21
26-07-2025,July,06:02,Morning,BA,BA7805,London Heathrow Airport,LHR,London,Vienna International Airport,VIE,Vienna,Austria,Europe,SHORT,A320,Airbus 320,0,3,177,1,6,26
01-10-2025,October,06:02,Morning,BA,BA5591,London Heathrow Airport,LHR,London,Dubai International Airport,DXB,Dubai,UAE,Middle East,LONG,B777,Boeing 777,0,32,300,0,2,14
25-10-2025,October,06:02,Morning,BA,BA9866,London Heathrow Airport,LHR,London,Adolfo Suárez Madrid–Barajas Airport,MAD,Madrid,Spain,Europe,SHORT,A320,Airbus 320,0,10,170,1,10,38
30-07-2025,July,06:02,Morning,BA,BA7082,London Heathrow Airport,LHR,London,Istanbul Airport,IST,Istanbul,Turkey,Europe,SHORT,A320,Airbus 320,0,5,175,0,1,10
07-07-2025,July,06:02,Morning,BA,BA9057,London Heathrow Airport,LHR,London,Frankfurt Airport,FRA,Frankfurt,Germany,Europe,SHORT,A320,Airbus 320,0,20,160,2,1,12
27-05-2025,May,06:02,Morning,BA,BA2047,London Heathrow Airport,LHR,London,Frankfurt Airport,FRA,Frankfurt,Germany,Europe,SHORT,A320,Airbus 320,0,0,180,0,9,35
23-04-2025,April,06:02,Morning,BA,BA5029,London Heathrow Airport,LHR,London,Haneda Airport (Tokyo International Airport),HND,Tokyo,Japan,Asia,LONG,B777,Boeing 777,0,48,224,0,13,45
28-07-2025,July,06:02,Morning,BA,BA4514,London Heathrow Airport,LHR,London,Frankfurt Airport,FRA,Frankfurt,Germany,Europe,SHORT,A320,Airbus 320,0,3,177,1,12,41
08-09-2025,September,06:02,Morning,BA,BA8754,London Heathrow Airport,LHR,London,Josep Tarradellas Barcelona-El Part Airport,BCN,Barcelona,Spain,Europe,SHORT,A320,Airbus 320,0,2,178,1,10,37
27-06-2025,June,06:03,Morning,BA,BA1723,London Heathrow Airport,LHR,London,Josep Tarradellas Barcelona-El Part Airport,BCN,Barcelona,Spain,Europe,SHORT,A320,Airbus 320,0,0,180,0,13,45
19-07-2025,July,06:03,Morning,BA,BA1146,London Heathrow Airport,LHR,London,Vienna International Airport,VIE,Vienna,Austria,Europe,SHORT,A320,Airbus 320,0,12,168,0,6,26
27-09-2025,September,06:03,Morning,BA,BA2253,London Heathrow Airport,LHR,London,John F. Kennedy International Airport,JFK,New York City,USA,North America,LONG,B787,Boeing 787,8,48,200,0,14,49
